category,title,detail,link
guest,Russell & Pearl,Arrives Sept 2,
guest,Aya & Måns,Arrives Sept 2,
guest,"Annie, Rupal, Samir, Mario & Anastasiia",Arrive Sept 3,
guest,Everyone else,Arrives Sept 4,
transport,Airport train,"Palermo airport to town, about 8.50 EUR one way, 50 min–1 hour. Buy tickets on the OMIO app or at the station.",https://www.omio.com
transport,Taxi to the airport,Costs roughly 50–60 EUR. Tip is optional.,
money,Cash,Recommended to withdraw 300–500 EUR for shared meals/taxis over the weekend.,
contact,Molo 53 (boat lunch),Tel +39 351 336 7509,
contact,Bespoke Wine Tour Sicily,Host: Helene Bezane,
location,Hotel / meeting point,Via Roma 97 Palermo (near Hotel Ambasciatori),
departure,Sept 9 departures,Per-person flight/departure times to be added,
