date,item,link
2026-09-04,Exchange or withdraw some cash for the weekend,
2026-09-04,Dress up a bit — birthday dinner at Gagini tonight!,
2026-09-04,Comfortable shoes for rooftop drinks after,
2026-09-05,📸 Add yesterday's photos to the shared Google album,https://photos.app.goo.gl/yLRPogERKezCeRuv8
2026-09-05,Towel and swimsuit/swim shorts,
2026-09-05,"Sun protection — hat, sunscreen, sunglasses",
2026-09-05,"Your own snacks, alcohol or drinks for the boat",
2026-09-05,Cash if you want to stop by the marina deli,
2026-09-06,📸 Add yesterday's photos to the shared Google album,https://photos.app.goo.gl/yLRPogERKezCeRuv8
2026-09-06,Comfortable walking shoes for Ballarò market and the old town,
2026-09-06,Sun hat and water bottle — lots of walking today,
2026-09-06,Cash for the market and shopping along Quattro Canti,
2026-09-06,"Doing the Segesta/Erice excursion instead? Bring a light layer — Erice's hilltop can be breezy even when Palermo is hot",
2026-09-07,📸 Add yesterday's photos to the shared Google album,https://photos.app.goo.gl/yLRPogERKezCeRuv8
2026-09-07,Comfortable shoes for the vineyard,
2026-09-07,Sunglasses and a light layer,
2026-09-07,Cash if you want to buy extra bottles to bring home,
2026-09-08,📸 Add yesterday's photos to the shared Google album,https://photos.app.goo.gl/yLRPogERKezCeRuv8
2026-09-08,"Doing Cefalù? Swimsuit, towel, sun protection",
2026-09-08,Comfortable walking shoes either way — Cefalù's old town or Santo Stefano's ceramics streets,
2026-09-08,"Cash for train tickets and any ceramics — pack them carefully, they're breakable!",
2026-09-09,📸 Add yesterday's photos to the shared Google album,https://photos.app.goo.gl/yLRPogERKezCeRuv8
2026-09-09,Passport / ID and boarding pass,
2026-09-09,Double-check your flight/departure time,
2026-09-09,Settle up any shared costs with the group,
2026-09-09,Pack the night before if you can — taxis run 50-60 EUR,
