date,day_label,start_time,end_time,type,track,optional,highlight,title,location,description,link,contact_name,contact_phone,emoji
2026-09-02,Wednesday — Early Arrivals,,,event,,no,no,Russell & Pearl arrive,,Early arrival into Palermo,,,,✈️
2026-09-02,Wednesday — Early Arrivals,,,event,,no,no,Aya & Måns arrive,,Early arrival into Palermo,,,,✈️
2026-09-02,Wednesday — Early Arrivals,,,task,,no,no,Scout Molo 53 for the boat lunch,Via Filippo Patti 30 Palermo,Scout the pizzeria and place the pre-order for Saturday's boat lunch,,Molo 53,+393513367509,🍕
2026-09-02,Wednesday — Early Arrivals,,,task,,no,no,Buy party supplies,,"Aperol, tonic water, prosecco, sodas, paper plates, utensils, cups, chips, nuts, olives",,,,🛒
2026-09-03,Thursday — More Arrivals,,,event,,no,no,"Annie, Rupal, Samir, Mario & Anastasiia arrive",,Arriving into Palermo,,,,✈️
2026-09-03,Thursday — More Arrivals,,,event,,no,no,Erice & Trapani day trip,Erice / Trapani,Pearl & Russell drive out for a day trip,,,,🚗
2026-09-04,Friday — Arrivals & Birthday Dinner,,,event,,no,no,Rest of the guests arrive,,,,,,✈️
2026-09-04,Friday — Arrivals & Birthday Dinner,19:30,,event,Everyone,no,yes,🎂 Birthday Dinner at Gagini,Via dei Cassari 35 Palermo,Celebrating Russell & Annie's 110 Year Sicilian Birthday Extravaganza!,https://www.ristorantegagini.it,,,🎂
2026-09-04,Friday — Arrivals & Birthday Dinner,22:00,,event,Everyone,no,no,Drinks at 7 Restaurant Rooftop,"Via Roma 111 Palermo (Hotel Ambasciatori)",Rooftop drinks after dinner,,,,🍹
2026-09-05,Saturday — Boat Day,09:30,,event,Everyone,no,no,Pickup by vans,Via Roma 97 Palermo,3 vans pick everyone up,,,,🚐
2026-09-05,Saturday — Boat Day,10:00,,event,Everyone,no,no,Pick up boat lunch,Via Filippo Patti 30 Palermo,Picking up the Molo 53 lunch food,,Molo 53,+393513367509,🍕
2026-09-05,Saturday — Boat Day,10:30,11:00,event,Everyone,no,no,Boat trip departs,Marina Palermo,Boat trip with Si.ti.mar srl,,,,⛵
2026-09-05,Saturday — Boat Day,18:00,,event,Everyone,no,no,Arrive back at the marina,Marina Palermo,Vans pick everyone up back to Via Roma 97,,,,⛵
2026-09-05,Saturday — Boat Day,19:30,,event,Everyone,no,no,Dinner at Buatta Cucina Popolana,Via Vittorio Emanuele 176 Palermo,,,,,🍽️
2026-09-06,Sunday — Free Day: Highlights of Palermo,10:00,,event,Everyone,no,no,Streetfood brunch at Mercato Ballarò,Mercato Ballarò Palermo,,,,,🥘
2026-09-06,Sunday — Free Day: Highlights of Palermo,13:00,,event,Everyone,no,no,Visit Palermo Cathedral,Palermo Cathedral,,,,,⛪
2026-09-06,Sunday — Free Day: Highlights of Palermo,,,event,Everyone,no,no,Visit Teatro Massimo,Teatro Massimo Palermo,,,,,🎭
2026-09-06,Sunday — Free Day: Highlights of Palermo,,,event,Everyone,no,no,Shopping walk along Quattro Canti,Quattro Canti Palermo,,,,,🛍️
2026-09-06,Sunday — Free Day: Highlights of Palermo,20:00,,tbc,Everyone,no,no,Dinner — TBC,,Needs a booking for ~15 people — nothing planned yet,,,,🍽️
2026-09-07,Monday — Vineyard Day,12:00,,event,Everyone,no,no,Pickup by bus,Via Roma 97 Palermo,,,,,🚌
2026-09-07,Monday — Vineyard Day,12:30,,event,Everyone,no,no,Vineyard tour: Alessandro di Camporeale,Camporeale Sicily,Wine tour with our specialist host,,Helene Bezane — Bespoke Wine Tour Sicily,,🍷
2026-09-07,Monday — Vineyard Day,17:00,,event,Everyone,no,no,Back at Via Roma 97,Via Roma 97 Palermo,,,,,🚌
2026-09-07,Monday — Vineyard Day,19:30,,tbc,Everyone,no,no,Dinner — TBC,,Needs a booking — nothing planned yet after the vineyard,,,,🍽️
2026-09-08,Tuesday — Optional: Cefalù Day Trip,09:00,,event,Optional: Cefalù,yes,no,Walk to Palermo train station,Palermo Centrale,About 500m from Via Roma 97,,,,🚶
2026-09-08,Tuesday — Optional: Cefalù Day Trip,09:36,10:23,event,Optional: Cefalù,yes,no,Train to Cefalù,Palermo Centrale → Cefalù,Buy tickets in advance on the OMIO app (~8 EUR one way) or at the station,https://www.omio.com,,,🚆
2026-09-08,Tuesday — Optional: Cefalù Day Trip,10:45,,event,Optional: Cefalù,yes,no,Arrive at Lavatoio Medievale (Medieval Beach),Lavatoio Medievale Cefalù,12-15 min walk from the station,,,,🏖️
2026-09-08,Tuesday — Optional: Cefalù Day Trip,18:00,,tbc,Optional: Cefalù,yes,no,Dinner in Cefalù — TBC,,About a 10hr gap before the first return train — worth planning a Cefalù dinner,,,,🍽️
2026-09-08,Tuesday — Optional: Cefalù Day Trip,20:20,21:09,event,Return option A,yes,no,Return train — Option A,Cefalù → Palermo,,,,,🚆
2026-09-08,Tuesday — Optional: Cefalù Day Trip,21:13,22:03,event,Return option B,yes,no,Return train — Option B,Cefalù → Palermo,,,,,🚆
2026-09-08,Tuesday — Optional: Cefalù Day Trip,22:06,22:58,event,Return option C,yes,no,Return train — Option C,Cefalù → Palermo,,,,,🚆
2026-09-08,Tuesday — Optional: Cefalù Day Trip,,,event,Free day in Palermo,yes,no,Or... stay in Palermo,,Skip the Cefalù trip and have a free day in Palermo instead,,,,🏛️
2026-09-09,Wednesday — Departure,,,event,Everyone,no,no,Leave Palermo for the airport,,Per-person departure times TBC — check with the group,,,,🛫
